vehicle,motor_model,prop_diameter_in,battery,battery_capacity_mah,cells_s,total_mass_g,airframe_mass_g,propulsion_mass_g,total_cost_usd,hover_time_min,mission_feasible,mission_total_time_s,mission_total_energy_mah,mission_energy_remaining_mah,throttle_takeoff1,throttle_cruise1,throttle_takeoff2,throttle_cruise2,throttle_takeoff3,throttle_cruise3
Hexacopter,HOBBYWING_H13MD_coaxial_axis,54.0,YANGDA_XTurbo_24S_44Ah,44000,24,58860.0,28810.0,30050.0,7800.0,21.2641284761639,False,1070.9079709864639,54622.014742588464,-10622.014742588464,40.0,40.0,62.0,53.5,40.0,40.0
Hexacopter,HOBBYWING_H13MD_coaxial_axis,54.0,TATTU_NEO_24S_30Ah,30000,24,63030.0,28810.0,34220.0,5668.98,14.498269415566295,False,1072.0067950904672,56211.057619295396,-26211.057619295396,40.0,40.0,62.5,54.0,40.0,40.0
Hexacopter,HOBBYWING_H13MD_coaxial_axis,54.0,MAD_24S_55Ah_solid_state,55000,24,62698.0,28810.0,33888.0,9372.0,26.580160595204873,False,1071.7100768256819,56194.538716146075,-1194.5387161460749,40.0,40.0,62.5,54.0,40.0,40.0
Hexacopter,HOBBYWING_H13MD_coaxial_axis,54.0,MAD_24S_100Ah_solid_state,100000,24,76335.0,28810.0,47525.0,17040.0,48.327564718554314,True,1076.048291951836,61653.8217708968,38346.1782291032,41.0,40.0,65.0,55.5,41.0,40.0
Hexacopter,HOBBYWING_H13MD_coaxial_axis,54.0,12Sx2_series_24S_66Ah,66000,24,67430.0,28810.0,38620.0,11853.6,31.89619271424585,True,1073.2655893955175,57923.874305096004,8076.125694903996,40.0,40.0,63.5,54.5,40.0,40.0
Hexacopter,HOBBYWING_H13MD_coaxial_axis,54.0,12Sx4_2P2S_24S_132Ah,132000,24,88830.0,28810.0,60020.0,23707.2,63.7923854284917,True,1076.8642026709524,67631.6667758988,64368.333224101196,47.0,40.0,67.0,57.0,47.0,40.0
Hexacopter,HOBBYWING_H13MD_coaxial_axis,54.0,Farasis_24S1P_53Ah,53000,24,67731.0,28810.0,38921.0,864.0,25.613609300833787,False,1073.6522049050425,57946.232603467375,-4946.232603467375,40.0,40.0,63.5,54.5,40.0,40.0
Hexacopter,HOBBYWING_H13MD_coaxial_axis,54.0,Farasis_24S2P_106Ah,106000,24,89432.0,28810.0,60622.0,1728.0,51.22721860166757,True,1078.0088480203317,67718.01360375005,38281.98639624995,47.5,40.0,67.0,57.0,47.5,40.0
Hexacopter,HOBBYWING_H13MD_coaxial_axis,54.0,ZYE_UltraHV_24S_66Ah,66000,24,67030.0,28810.0,38220.0,2498.0,31.89619271424585,True,1072.8184686331176,57898.13554571149,8101.864454288509,40.0,40.0,63.5,54.5,40.0,40.0
Hexacopter,HOBBYWING_H13MD_coaxial_axis,54.0,Grepow_TARBG_24S_30Ah,30000,24,55375.0,28810.0,26565.0,5302.78,14.498269415566295,False,1070.373364627855,53179.51246013072,-23179.512460130718,40.0,40.0,61.0,53.0,40.0,40.0
Hexacopter,HOBBYWING_H13MD_coaxial_axis,54.0,Amprius_SA08_24S1P_11Ah,11050,24,48730.0,28810.0,19920.0,4640.0,5.340195901400252,False,1070.6400243468142,49799.62814202295,-38749.62814202295,40.0,40.0,60.0,51.5,40.0,40.0
Hexacopter,HOBBYWING_H13MD_coaxial_axis,54.0,Amprius_SA08_24S2P_22Ah,22100,24,51430.0,28810.0,22620.0,9280.0,10.680391802800504,False,1071.2529011734086,50813.68118840654,-28713.68118840654,40.0,40.0,60.5,52.0,40.0,40.0
Hexacopter,HOBBYWING_H13MD_coaxial_axis,54.0,Amprius_SA88_24S1P_10Ah,10500,24,48477.0,28810.0,19667.0,1944.0,5.0743942954482035,False,1070.3613370431196,49785.774088112186,-39285.774088112186,40.0,40.0,60.0,51.5,40.0,40.0
